Id,task_1,task_2
data/test\melanoma\ISIC_0012258.jpg,0.0537998,0.57414573
data/test\melanoma\ISIC_0012356.jpg,0.23505117,0.35543972
data/test\melanoma\ISIC_0012369.jpg,0.25806636,0.13570368
data/test\melanoma\ISIC_0012395.jpg,0.4129069,0.03138682
data/test\melanoma\ISIC_0012425.jpg,0.23806821,0.07199564
data/test\melanoma\ISIC_0012758.jpg,0.14545488,0.034960624
data/test\melanoma\ISIC_0012989.jpg,0.17491573,0.10318081
data/test\melanoma\ISIC_0013072.jpg,0.15154465,0.335509
data/test\melanoma\ISIC_0013073.jpg,0.2722508,0.046431404
data/test\melanoma\ISIC_0013242.jpg,0.4218841,0.038933683
data/test\melanoma\ISIC_0013277.jpg,0.24519944,0.027181992
data/test\melanoma\ISIC_0013321.jpg,0.21201548,0.27461597
data/test\melanoma\ISIC_0013374.jpg,0.18136051,0.3520552
data/test\melanoma\ISIC_0013411.jpg,0.16907156,0.4825317
data/test\melanoma\ISIC_0013414.jpg,0.058828596,0.017327769
data/test\melanoma\ISIC_0013455.jpg,0.2415644,0.0022318598
data/test\melanoma\ISIC_0013457.jpg,0.21948743,0.050677665
data/test\melanoma\ISIC_0013459.jpg,0.116134346,0.28638843
data/test\melanoma\ISIC_0013472.jpg,0.18070489,0.19643234
data/test\melanoma\ISIC_0013473.jpg,0.29879516,0.32377425
data/test\melanoma\ISIC_0013565.jpg,0.18786618,0.43588424
data/test\melanoma\ISIC_0013577.jpg,0.122396946,0.47880495
data/test\melanoma\ISIC_0013588.jpg,0.20618866,0.44833404
data/test\melanoma\ISIC_0013615.jpg,0.36314422,0.13150644
data/test\melanoma\ISIC_0013617.jpg,0.10693611,0.13067625
data/test\melanoma\ISIC_0013636.jpg,0.14438646,0.40971828
data/test\melanoma\ISIC_0013678.jpg,0.4507205,0.12060082
data/test\melanoma\ISIC_0013696.jpg,0.14743394,0.19107574
data/test\melanoma\ISIC_0013733.jpg,0.15233704,0.19575752
data/test\melanoma\ISIC_0013739.jpg,0.21658961,0.09189092
data/test\melanoma\ISIC_0013766.jpg,0.18409106,0.013962906
data/test\melanoma\ISIC_0013767.jpg,0.17795888,0.43045765
data/test\melanoma\ISIC_0013813.jpg,0.14273036,0.5709798
data/test\melanoma\ISIC_0013814.jpg,0.1739355,0.5028341
data/test\melanoma\ISIC_0013833.jpg,0.40202156,0.045331858
data/test\melanoma\ISIC_0013842.jpg,0.09246179,0.46333295
data/test\melanoma\ISIC_0013867.jpg,0.13267791,0.38186485
data/test\melanoma\ISIC_0013908.jpg,0.22715475,0.25454745
data/test\melanoma\ISIC_0013917.jpg,0.17199185,0.15212916
data/test\melanoma\ISIC_0013925.jpg,0.35024518,0.063779205
data/test\melanoma\ISIC_0013948.jpg,0.27461034,0.018406978
data/test\melanoma\ISIC_0013953.jpg,0.17578694,0.42993835
data/test\melanoma\ISIC_0013987.jpg,0.21673357,0.2080994
data/test\melanoma\ISIC_0013988.jpg,0.20359237,0.3456174
data/test\melanoma\ISIC_0014027.jpg,0.23295332,0.38714305
data/test\melanoma\ISIC_0014059.jpg,0.13859911,0.23018941
data/test\melanoma\ISIC_0014077.jpg,0.09912244,0.105307855
data/test\melanoma\ISIC_0014103.jpg,0.1877608,0.3501569
data/test\melanoma\ISIC_0014110.jpg,0.1704089,0.17356335
data/test\melanoma\ISIC_0014129.jpg,0.085727096,0.6448926
data/test\melanoma\ISIC_0014148.jpg,0.24155515,0.3782416
data/test\melanoma\ISIC_0014160.jpg,0.31783262,0.17552674
data/test\melanoma\ISIC_0014181.jpg,0.19874915,0.47773913
data/test\melanoma\ISIC_0014186.jpg,0.13972874,0.38519096
data/test\melanoma\ISIC_0014219.jpg,0.15288214,0.29421625
data/test\melanoma\ISIC_0014221.jpg,0.12828714,0.30201074
data/test\melanoma\ISIC_0014233.jpg,0.34108073,0.36937737
data/test\melanoma\ISIC_0014255.jpg,0.0042244266,0.17367445
data/test\melanoma\ISIC_0014270.jpg,0.1174481,0.42338964
data/test\melanoma\ISIC_0014284.jpg,0.3641376,0.12103159
data/test\melanoma\ISIC_0014288.jpg,0.09550142,0.4030458
data/test\melanoma\ISIC_0014319.jpg,0.30027005,0.15370151
data/test\melanoma\ISIC_0014336.jpg,0.25657228,0.39381725
data/test\melanoma\ISIC_0014349.jpg,0.20371337,0.19191833
data/test\melanoma\ISIC_0014369.jpg,0.23425654,0.02569783
data/test\melanoma\ISIC_0014423.jpg,0.1965302,0.10789281
data/test\melanoma\ISIC_0014434.jpg,0.0019402879,0.83459544
data/test\melanoma\ISIC_0014454.jpg,0.09064979,0.66680425
data/test\melanoma\ISIC_0014478.jpg,0.35117543,0.19227968
data/test\melanoma\ISIC_0014489.jpg,0.09852005,0.5486076
data/test\melanoma\ISIC_0014506.jpg,0.20658919,0.4729984
data/test\melanoma\ISIC_0014513.jpg,0.18385865,0.15544748
data/test\melanoma\ISIC_0014541.jpg,0.18677282,0.022974877
data/test\melanoma\ISIC_0014542.jpg,0.46500108,0.17082314
data/test\melanoma\ISIC_0014546.jpg,0.14640073,0.4887627
data/test\melanoma\ISIC_0014548.jpg,0.20314287,0.36693516
data/test\melanoma\ISIC_0014559.jpg,0.13202217,0.5329226
data/test\melanoma\ISIC_0014663.jpg,0.2987825,0.06442712
data/test\melanoma\ISIC_0014666.jpg,0.6489655,0.034531668
data/test\melanoma\ISIC_0014695.jpg,0.19283837,0.41007307
data/test\melanoma\ISIC_0014703.jpg,0.2891297,0.1995286
data/test\melanoma\ISIC_0014727.jpg,0.05537417,0.4384173
data/test\melanoma\ISIC_0014766.jpg,0.43099588,0.04596173
data/test\melanoma\ISIC_0014772.jpg,0.29402983,0.22351868
